"","production_year","country_of_origin","mileage","aso_serviced","power","title","color","brand","metallic","price","first_registration","version","location","collision_free","model","type","fuel_type","lat","lon"
"70",2005,"Germany",141344,"Tak","97 KM","Toyota Corolla 1.4i-Nowy Model-100% Serwis Toyota-PO OPLATACH-z Niemiec-IGLA","Niebieski","Toyota","Tak",17700,"grudzien 2005","Seria E12 (2001-2007)","Dzbowska 66 - 42-202 Czestochowa, Slaskie","Tak","Corolla","Hatchback","Benzyna",50.7716409,19.085054
"71",1998,"",205000,"","86 KM","Toyota Corolla","Zielony","Toyota","",5800,"","Seria E11 (1997-2002)","Sopot","Tak","Corolla","Sedan/Limuzyna","Benzyna",54.441581,18.5600956
"72",2005,"Poland",119000,"Tak","90 KM","Toyota Corolla IWL,2005/06,1.4 D4D,Salon Polska,Klima,5 drzwiowy","Srebrny","Toyota","Tak",19500,"luty 2006","Seria E12 (2001-2007)","Minsk Mazowiecki","Tak","Corolla","Hatchback","Diesel",52.1792836,21.5721057
"73",2005,"",134000,"Tak","116 KM","Toyota Corolla 2.0 D- 4D 116 KM Stan Wzorowy Klimatronic","Niebieski","Toyota","Tak",17500,"","Seria E12 (2001-2007)","Al. Spóldzielczosci Pracy 42 A - 20-147 Lublin, Lubelskie","","Corolla","Hatchback","Diesel",51.2690592,22.5730172
"74",2005,"Poland",150000,"","110 KM","Toyota Corolla Unikatowa E12, lift 1.6 VVT-i,pakiet TTE (T-SPORT,TRD),PL ASO","Srebrny","Toyota","Tak",22500,"styczen 2005","Seria E12 (2001-2007)","Olsztyn","Tak","Corolla","Hatchback","Benzyna",53.778422,20.4801193
"75",2003,"Germany",258341,"Tak","116 KM","Toyota Corolla Toyota Corolla e12 Sol D4D 116km prywatna zadbana","Czerwony","Toyota","",12500,"sierpien 2003","Seria E12 (2001-2007)","Zory","Tak","Corolla","Hatchback","Diesel",50.0447236,18.7006401
"76",2003,"Poland",251000,"","96 KM","Toyota Corolla Salon PL, Klima, el.szyby, el.lusterka","Czerwony","Toyota","",11900,"","Seria E12 (2001-2007)","róg AL.JANA PAWLA II / UL. OBYWATELSKA - 93-562 Lódz, Górna","","Corolla","Hatchback","Benzyna",51.7365317,19.4420479
"77",2004,"",233000,"","90 KM","Toyota Corolla 2.0d4d 2004r salon polska sprawna klima najtaniej","Inny kolor","Toyota","",5999,"","Seria E12 (2001-2007)","Warszawa","","Corolla","Kombi","Diesel",52.2296756,21.0122287
"78",2003,"",261000,"","","Toyota Corolla z instalacja GAZOWA !","Niebieski","Toyota","",9200,"","Seria E12 (2001-2007)","Aleja Pilsudskiego 2h - 41-300 Dabrowa Górnicza, Slaskie","","Corolla","Hatchback","Benzyna+LPG",50.3283887,19.212231
"79",2003,"Poland",143000,"","97 KM","Toyota Corolla 1.4 VVT-i Klima Salon Polska !!!","Srebrny","Toyota","Tak",12900,"","Seria E12 (2001-2007)","Lwowska 92 (droga E40 1 km przed AUCHAN) - 35-301 Rzeszów, Podkarpackie","Tak","Corolla","","Benzyna",50.0544891,22.036642
